,Unnamed: 0,open_time,open,high,low,close,volume,close_time,count,long,rsi_value,rsi_over_80,rsi_under_20,stochRsi_value,stoch_K_value,stoch_D_value,stoch_K_cross_D_bullish,stoch_K_cross_D_bearish,stochRsi_over_80,stochRsi_under_20,pSar_value,price_over_pSar,sma_value_9,price_over_sma,ichimoku_span_A,ichimoku_span_B,ichimoku_tenkan_sen,ichimoku_kijun_sen,tenkan_over_kijun,spanaA_over_spanB,ichimoku_price_in_cloud_color
60,60,1633262400000,47974.86,48090.0,47808.14,47964.43,804.97466,1633265999999,28239,-1,56.55114022856497,0,0,0.9336850466907832,0.7247159340783562,0.5858658311022203,1,0,1,0,47221.45696035431,1,47906.176666666666,1,47781.1475,46631.145000000004,47850.0,47712.295,1,0,1
61,61,1633266000000,47964.44,48150.0,47841.0,48052.5,1147.51808,1633269599999,39471,-1,58.824624013532116,0,0,1.0,0.900664129459552,0.7349848936402473,1,0,1,0,47239.027821147225,1,47924.14555555555,1,47793.6475,46662.2,47875.0,47712.295,1,0,1
62,62,1633269600000,48052.5,48105.6,47892.99,47965.64,997.50451,1633273199999,37457,-1,55.727493552146036,0,0,0.6995624502190205,0.8777491656366013,0.8343764097248365,1,0,0,0,47275.466708301334,1,47921.42333333333,1,47793.6475,47629.34,47875.0,47712.295,1,0,1
63,63,1633273200000,47965.64,48025.31,47799.18,47879.82,1251.80495,1633276799999,47087,-1,52.77117987516651,0,0,0.26210769592537875,0.6538900487147997,0.8107677812703177,0,0,0,0,47310.448039969284,1,47911.071111111116,0,47784.5,47629.34,47875.0,47694.0,1,0,1
64,64,1633276800000,47879.81,48067.69,47821.96,48034.99,937.24598,1633280399999,40941,-1,57.192987600227234,0,0,0.7328669630258308,0.5648457030567433,0.6988283058027148,0,1,0,0,47344.030118370516,1,47926.515555555554,1,47784.5,47629.34,47875.0,47694.0,1,0,1
65,65,1633280400000,48034.99,49228.08,47943.09,48910.24,4172.68238,1633283999999,150604,-1,72.71221473697034,0,0,1.0,0.6649915529837365,0.6279091015850932,0,0,1,0,47376.26891363569,1,48047.20999999999,1,48286.04,47995.880000000005,48414.04,48158.04,1,0,1
66,66,1633284000000,48910.23,49176.32,48541.33,48822.03,2520.10677,1633287599999,82098,-1,69.9594326363918,0,0,0.8623302300014549,0.8650657310090951,0.6983009956831916,0,0,1,0,47487.37757881755,1,48157.42555555556,1,48318.54,48134.01,48479.04,48158.04,1,0,1
67,67,1633287600000,48822.03,48960.98,48725.0,48774.76,977.20419,1633291199999,37565,-1,68.4636213913934,0,0,0.7875230049701359,0.883284411657197,0.8044472318833429,1,0,0,0,47591.8197240885,1,48264.363333333335,1,48330.552500000005,48158.04,48503.065,48158.04,1,0,1
68,68,1633291200000,48774.76,48837.88,48400.59,48425.02,1312.92032,1633294799999,48563,1,58.49777381077534,0,0,0.2891196101006702,0.6463242816907537,0.7982248081190152,0,1,0,0,47689.99534064319,1,48314.38111111111,1,48335.83500000001,48158.04,48513.630000000005,48158.04,1,0,1
69,69,1633294800000,48425.02,48455.11,47601.89,47758.21,2613.26754,1633298399999,92999,1,45.03711257932323,0,0,0.0,0.3588808716902688,0.6294965216794065,0,1,0,1,49228.08,0,48291.46777777778,0,48286.5125,48158.04,48414.985,48158.04,1,0,-1
70,70,1633298400000,47758.2,48200.0,47700.0,47984.94,1346.8441,1633301999999,38469,1,49.308362132043705,0,0,0.1543354574949692,0.14781835586521316,0.38434116974874527,0,1,0,1,49195.5562,0,48283.961111111115,0,48286.5125,48158.04,48414.985,48158.04,1,0,-1
71,71,1633302000000,47988.23,48320.0,47874.0,48200.01,1033.16133,1633305599999,38960,1,53.03657498335847,0,0,0.2890490650573751,0.14779484085078143,0.21816468946875445,0,1,0,0,49163.682876,0,48310.002222222225,0,48286.5125,48158.04,48414.985,48158.04,1,0,0
72,72,1633305600000,48200.01,48280.71,47840.0,47860.89,1593.37284,1633309199999,47834,1,47.148292983832604,0,0,0.07628446653903391,0.1732229963637927,0.15627873102659576,0,0,0,1,49132.44701848,0,48307.898888888885,0,48286.5125,48158.04,48414.985,48158.04,1,0,-1
73,73,1633309200000,47860.88,48181.91,47714.27,47810.39,1319.95616,1633312799999,50462,1,46.3235145616478,0,0,0.04648228487095628,0.13727193882245506,0.15276325867900972,0,1,0,1,49101.8358781104,0,48282.94333333333,0,48286.5125,48158.04,48414.985,48158.04,1,0,-1
74,74,1633312800000,47810.4,47883.91,47581.42,47678.16,1353.73032,1633316399999,35274,1,44.145880966435804,0,0,0.0,0.04092225046999673,0.11713906188541483,0,1,0,1,49071.83696054819,0,48146.04555555556,0,48302.2725,48158.04,48378.869999999995,48225.675,1,0,-1
75,75,1633316400000,47678.16,47798.2,47336.0,47468.79,1617.51466,1633319999999,45765,1,40.869797692141084,0,0,0.0,0.015494094956985427,0.06456276141647907,0,1,0,1,49012.22028212626,0,47995.68555555555,0,48215.265,48158.04,48148.490000000005,48282.04,0,0,-1
76,76,1633320000000,47468.79,47844.1,47234.21,47751.99,1829.35088,1633323599999,53052,1,46.63823779053384,0,0,0.1811558491389544,0.060385283046318135,0.038933876157766764,0,0,0,1,48911.64706519869,0,47882.044444444444,0,48133.595,48158.04,48036.045,48231.145000000004,0,1,-1
