,open_time,open,high,low,close,volume,close_time,count,long
1972,1640145600000,49249.0,49347.9,49081.78,49312.4,1026.27797,1640149199999,37105,-1
1973,1640149200000,49312.4,49331.9,48914.07,48964.88,948.35712,1640152799999,32358,-1
1974,1640152800000,48964.87,49230.55,48922.33,49057.21,867.53354,1640156399999,29219,-1
1975,1640156400000,49057.22,49300.0,49055.74,49206.42,796.68034,1640159999999,29067,-1
1976,1640160000000,49206.43,49535.0,49099.54,49258.01,1573.40629,1640163599999,42788,-1
1977,1640163600000,49260.22,49325.0,48830.29,48941.35,1411.98917,1640167199999,47441,-1
1978,1640167200000,48941.35,49150.0,48862.74,49084.17,905.76958,1640170799999,35266,-1
1979,1640170800000,49084.17,49234.69,48891.63,48981.99,1062.06155,1640174399999,40065,-1
1980,1640174400000,48981.98,49123.62,48512.0,48578.37,2018.41743,1640177999999,64604,-1
1981,1640178000000,48578.36,48790.95,48421.87,48560.0,1437.56593,1640181599999,56931,-1
1982,1640181600000,48560.0,48949.99,48521.18,48805.05,1246.36353,1640185199999,51450,-1
1983,1640185200000,48805.04,48906.76,48624.15,48879.28,1011.17956,1640188799999,42117,-1
1984,1640188800000,48879.28,49245.81,48757.82,48998.0,1300.45263,1640192399999,51508,-1
1985,1640192400000,48998.0,49100.0,48689.65,48702.07,959.87212,1640195999999,39123,1
1986,1640196000000,48702.07,48846.42,48524.98,48576.02,886.56148,1640199599999,37884,1
1987,1640199600000,48576.02,48950.0,48506.01,48931.99,799.48215,1640203199999,30432,1
1988,1640203200000,48931.99,49144.99,48860.47,48974.34,1309.98901,1640206799999,32398,1
1989,1640206800000,48974.33,49139.97,48836.72,49048.84,894.4665,1640210399999,29477,1
1990,1640210400000,49048.83,49084.45,48788.49,48977.21,710.47289,1640213999999,29940,1
1991,1640214000000,48977.21,48995.89,48555.0,48588.16,1186.22529,1640217599999,33324,1
1992,1640217600000,48588.17,48673.13,47920.42,48290.0,2329.67688,1640221199999,63956,1
1993,1640221200000,48289.99,48490.22,48069.51,48469.14,927.9752,1640224799999,32610,1
1994,1640224800000,48469.13,48731.71,48321.09,48355.4,1310.53817,1640228399999,40937,1
1995,1640228400000,48355.39,48555.0,48208.25,48524.11,795.94821,1640231999999,30133,1
1996,1640232000000,48524.11,48584.71,48295.51,48362.41,616.1453,1640235599999,26573,1
1997,1640235600000,48362.41,48567.1,48200.0,48384.52,767.30713,1640239199999,25914,1
1998,1640239200000,48384.53,48499.55,48265.71,48468.92,834.07255,1640242799999,28151,1
1999,1640242800000,48468.93,48500.0,48031.45,48129.6,1148.70861,1640246399999,39622,1
2000,1640246400000,48129.61,48363.0,48060.0,48339.9,998.79131,1640249999999,36560,1
2001,1640250000000,48339.91,48424.97,48149.0,48376.94,881.70746,1640253599999,34569,1
2002,1640253600000,48376.94,48450.0,48211.62,48434.53,807.06689,1640257199999,33286,1
2003,1640257200000,48434.53,48541.86,48227.98,48354.77,1185.40474,1640260799999,38391,1
2004,1640260800000,48354.76,48838.63,48323.98,48616.93,1249.92282,1640264399999,42519,1
2005,1640264400000,48616.94,48859.61,48584.43,48614.97,1384.61313,1640267999999,44795,1
2006,1640268000000,48614.96,48700.0,48464.0,48599.23,997.82265,1640271599999,36654,1
2007,1640271600000,48599.24,48849.66,48578.15,48819.33,992.50872,1640275199999,39403,1
2008,1640275200000,48819.33,49154.0,48677.52,49089.49,2038.16202,1640278799999,66661,1
2009,1640278800000,49089.49,50166.0,49013.0,50060.01,3915.22028,1640282399999,111929,1
2010,1640282400000,50060.01,50776.98,50060.0,50619.98,4053.4834,1640285999999,111524,1
2011,1640286000000,50619.98,51375.0,50500.0,51109.99,2934.34312,1640289599999,104634,-1
2012,1640289600000,51110.0,51209.3,50718.66,50929.71,1825.89043,1640293199999,70365,-1
2013,1640293200000,50929.71,50980.99,50622.75,50824.37,1290.12677,1640296799999,41090,0
2014,1640296800000,50824.37,50998.72,50706.45,50758.94,858.21201,1640300399999,38411,1
2015,1640300400000,50758.94,50851.11,50501.0,50838.81,1048.89266,1640303999999,37363,0
2016,1640304000000,50838.82,50990.0,50644.48,50877.38,1258.57071,1640307599999,42165,0
2017,1640307600000,50877.38,51375.0,50843.12,51350.01,3037.17958,1640311199999,59615,-1
2018,1640311200000,51350.01,51527.58,51015.55,51044.02,2286.33021,1640314799999,68320,-1
2019,1640314800000,51044.02,51167.46,50851.02,51029.99,1237.77455,1640318399999,42022,-1
2020,1640318400000,51030.0,51109.09,50926.55,50951.47,560.59259,1640321994362,22379,-1
2021,1640322000000,50951.41,51026.34,50828.99,51012.73,765.92466,1640325599999,38919,-1
2022,1640325600000,51012.72,51012.73,50736.11,50883.73,955.1915,1640329199999,43232,0
2023,1640329200000,50883.73,51076.98,50818.1,50994.75,913.84277,1640332799999,33824,-1
2024,1640332800000,50994.75,51198.0,50895.57,51069.18,998.78873,1640336399999,38315,-1
2025,1640336400000,51069.18,51300.01,51034.97,51267.12,909.00254,1640339999999,32787,-1
2026,1640340000000,51267.13,51271.63,51053.96,51181.29,780.55018,1640343599999,30500,-1
2027,1640343600000,51181.29,51550.0,50858.0,50993.88,2212.41929,1640347199999,60480,-1
2028,1640347200000,50993.89,51084.41,50823.39,51026.21,982.19209,1640350799999,43268,-1
2029,1640350800000,51026.21,51171.74,50870.6,51040.49,971.86647,1640354399999,36126,-1
2030,1640354400000,51040.49,51244.22,50668.52,50760.99,1466.83006,1640357999999,48453,1
2031,1640358000000,50760.99,50987.2,50384.43,50956.68,1950.43136,1640361599999,67160,0
2032,1640361600000,50956.68,51220.0,50826.08,50926.97,1619.27325,1640365199999,53144,0
2033,1640365200000,50926.96,51116.31,50735.87,51112.83,684.89831,1640368799999,33905,-1
2034,1640368800000,51112.83,51638.0,51072.16,51600.48,1861.91217,1640372399999,53501,-1
2035,1640372400000,51600.47,51810.0,51083.58,51126.4,1935.07156,1640375999999,65289,-1
2036,1640376000000,51126.4,51236.15,50773.9,51109.18,1640.57091,1640379599999,53714,-1
2037,1640379600000,51109.17,51135.26,50847.84,50876.44,598.85044,1640383199999,26808,-1
2038,1640383200000,50876.44,50955.53,50570.16,50760.55,1001.76155,1640386799999,43841,-1
2039,1640386800000,50760.55,50890.01,50500.0,50820.0,1032.09337,1640390399999,36641,-1
2040,1640390400000,50819.99,51066.32,50600.0,51045.25,744.53471,1640393999999,29980,-1
2041,1640394000000,51045.25,51090.0,50850.0,50992.54,594.85161,1640397599999,24681,-1
2042,1640397600000,50992.55,51131.25,50768.42,50768.43,663.28411,1640401199999,25796,-1
2043,1640401200000,50768.42,50932.49,50700.19,50844.14,533.43132,1640404799999,22142,-1
2044,1640404800000,50844.13,51054.69,50800.79,50886.42,600.63354,1640408399999,20787,-1
2045,1640408400000,50886.42,51010.42,50858.56,50886.99,484.5835,1640411999999,20546,-1
2046,1640412000000,50886.99,50986.23,50656.43,50965.88,640.70759,1640415599999,29748,-1
2047,1640415600000,50965.89,51084.13,50822.17,50919.17,782.58942,1640419199999,28017,-1
2048,1640419200000,50919.18,50968.57,50789.0,50886.35,643.88073,1640422799999,25874,-1
2049,1640422800000,50886.35,51009.29,50802.0,50807.4,531.8189,1640426399999,27074,-1
2050,1640426400000,50807.39,50841.37,50555.0,50645.41,921.06352,1640429999999,39585,-1
2051,1640430000000,50645.41,50816.32,50583.15,50682.97,537.97712,1640433599999,35022,-1
2052,1640433600000,50682.97,50934.78,50682.96,50802.76,594.23214,1640437199999,37498,-1
2053,1640437200000,50802.76,50900.0,50631.55,50847.48,1030.35323,1640440799999,32625,-1
2054,1640440800000,50847.48,50865.55,50650.0,50744.9,688.75155,1640444399999,33776,-1
2055,1640444400000,50744.89,50815.54,50650.0,50659.91,848.68752,1640447999999,37395,-1
2056,1640448000000,50659.91,50765.32,50444.7,50600.02,1358.0278,1640451599999,46648,-1
2057,1640451600000,50600.02,50849.0,50142.32,50781.75,2036.45313,1640455199999,62454,-1
2058,1640455200000,50781.74,51156.23,50705.64,50986.34,1095.36984,1640458799999,44155,-1
2059,1640458800000,50986.35,51062.1,50816.86,50889.15,477.80948,1640462399999,23564,-1
2060,1640462400000,50889.15,50995.75,50732.58,50852.83,549.51431,1640465999999,25932,-1
2061,1640466000000,50852.83,51080.0,50820.93,50960.01,677.25602,1640469599999,29390,-1
2062,1640469600000,50960.01,50970.48,50554.46,50609.58,797.96415,1640473199999,30760,-1
2063,1640473200000,50609.59,50691.17,50335.67,50399.66,1301.74089,1640476799999,33530,-1
2064,1640476800000,50399.67,50561.34,50255.0,50378.41,1605.46199,1640480399999,35811,-1
2065,1640480400000,50378.41,50672.93,50314.66,50523.25,913.48694,1640483999999,25356,-1
2066,1640484000000,50523.26,50557.87,49800.0,50028.5,1962.59558,1640487599999,55706,1
2067,1640487600000,50028.49,50028.5,49610.0,49675.56,1885.43297,1640491199999,50883,1
2068,1640491200000,49675.56,49884.71,49600.95,49867.65,861.16017,1640494799999,31127,1
2069,1640494800000,49867.65,49977.07,49800.0,49862.63,626.04398,1640498399999,20550,1
2070,1640498400000,49862.64,49961.51,49804.58,49904.96,475.21303,1640501999999,21392,1
2071,1640502000000,49904.96,49974.98,49716.17,49930.39,545.66501,1640505599999,21715,1
2072,1640505600000,49930.39,50089.93,49826.01,49881.98,742.58404,1640509199999,28400,1
2073,1640509200000,49881.97,50169.17,49840.2,50012.6,772.37161,1640512799999,29399,1
2074,1640512800000,50012.61,50104.0,49924.02,50079.99,720.51634,1640516399999,30011,1
2075,1640516400000,50080.0,50125.0,49412.0,49748.89,1463.81011,1640519999999,47447,1
2076,1640520000000,49748.89,49964.28,49642.11,49870.53,756.26845,1640523599999,32192,1
2077,1640523600000,49870.52,49984.0,49765.2,49841.99,633.77758,1640527199999,28348,1
2078,1640527200000,49842.0,49950.0,49732.01,49901.56,618.67657,1640530799999,29876,1
2079,1640530800000,49901.57,50281.08,49900.74,50049.34,949.75752,1640534399999,34664,1
2080,1640534400000,50049.34,50400.0,50018.38,50240.53,854.58314,1640537999999,34599,1
2081,1640538000000,50240.53,50386.0,50166.08,50255.17,731.04697,1640541599999,30123,1
